rank,Latitude,Longitude,Name of City,Country,2021 Population,2020 Population,Growth,Population Difference,Population Change,SO2,NO2,PM10,PM2.5,O3,CO
932,57.7072326,11.9670171,Gothenburg,Sweden,617781,610521,0.0119,7260,grew,4.71,7.54,3.95,2.66,74.39,313.76
933,37.6866796,112.7383414,Jinzhong,China,617236,599611,0.0294,17625,grew,94.41,89.11,210.89,145.69,0,1695.63
934,30.2090874,76.3398721,Patiala,India,616590,599186,0.029,17404,grew,5.36,20.74,121.61,100.04,31.83,974.66
935,29.4928874,60.8503017,Zahedan,Iran,616511,609873,0.0109,6638,grew,21.94,80.88,92.92,23.54,0,1815.8
936,28.8680526,79.298385,Bilaspur,India,616394,599812,0.0276,16582,grew,10.01,11.65,63.88,48.48,83.69,580.79
937,38.2542376,-85.759407,Louisville,United States,615924,616781,-0.0014,857,declined,1.36,16.45,15.07,12.95,40.77,370.5
938,14.8110432,121.0491569,San Jose del Monte,Philippines,615815,607692,0.0134,8123,grew,1.45,5.48,11.45,5.77,31.11,380.52
939,15.239041,44.145513,Hillah,Iraq,615167,604149,0.0182,11018,grew,17.41,13.54,24.04,8.86,52.21,253.68
940,47.9102734,33.3917703,Kryvyi Rih,Ukraine,613696,618706,-0.0081,5010,declined,18.36,11.14,6.6,5.33,66.52,377.18
941,57.6263877,39.8933705,Yaroslavl,Russia,612502,612365,0.0002,137,grew,1,2.68,1.27,1.04,76.53,270.37
942,50.8214626,-0.1400561,Brighton,United Kingdom,612159,606909,0.0087,5250,grew,4.23,40.1,7.08,5.65,0.01,440.6
943,-12.2578934,-38.9598047,Feira De Santana,Brazil,609939,602128,0.013,7811,grew,1.62,2.51,3.59,1.88,74.39,317.1
944,43.1150678,131.8855768,Vladivostok,Russia,609632,609754,-0.0002,122,declined,1.31,2.96,0.91,0.67,81.54,287.06
945,23.4610615,91.1808748,Comilla,Bangladesh,609345,588772,0.0349,20573,grew,1.22,7.03,107.1,91.45,53.64,647.54
946,19.416667,-98.166667,Tlaxcala,Mexico,606590,596362,0.0172,10228,grew,5.01,1.11,19.07,17.4,130.18,327.11
947,43.1669821,124.364739,Siping,China,604724,594482,0.0172,10242,grew,4.47,12,15.91,9.39,57.94,333.79
948,39.9815552,117.0714873,Sanhe,China,604549,576241,0.0491,28308,grew,122.07,112.41,211.55,150.43,0,2296.45
949,4.9795999,8.3373597,Calabar,Nigeria,604546,579273,0.0436,25273,grew,0.75,1.74,15.84,6.55,30.4,433.92
950,27.633333,77.583333,Mathura,India,603301,588334,0.0254,14967,grew,3.64,9.68,69.4,50.74,72.24,527.38
951,6.3208897,8.1133202,Abakaliki,Nigeria,601712,572028,0.0519,29684,grew,8.58,15.42,241.93,113.47,40.77,1642.23
952,34.5307313,113.3761237,Xinmi,China,600980,575696,0.0439,25284,grew,39.1,51.41,133.44,61.96,23.6,687.6
953,41.9960924,21.4316495,Skopje,North Macedonia,600708,595275,0.0091,5433,grew,7.57,38.04,32.47,27.24,34.69,487.33
954,42.9830241,47.5048717,Makhachkala,Russia,600541,599792,0.0012,749,grew,7.99,15.59,10.37,8.81,63.66,340.46
955,58.6124279,82.0475315,Tomsk,Russia,600254,595642,0.0077,4612,grew,0.13,0.79,0.5,0.5,71.53,257.02
956,32.0165721,120.2693683,Jingjiang,China,599221,577513,0.0376,21708,grew,11.92,39.07,79.47,63.08,27.54,714.3
957,24.7337639,118.6439351,Shishi,China,598547,585317,0.0226,13230,grew,12.99,44.55,65.97,64.65,19.13,687.6
958,25.6301525,119.3756376,Fuqing,China,597698,584631,0.0224,13067,grew,32.42,58.26,87.48,81.47,5.59,727.65
959,37.2595198,39.0408174,Sanliurfa,Turkey,596713,590522,0.0105,6191,grew,0.85,4.2,15.43,11.8,84.4,313.76
960,51.3406321,12.3747329,Leipzig,Germany,596230,591052,0.0088,5178,grew,6.08,42.16,29.43,26.07,26.82,433.92
961,23.8312377,91.2823821,Agartala,India,595210,575073,0.035,20137,grew,2.3,18.68,130.42,110.55,41.13,894.55
962,30.3635622,113.4170705,Xiantao,China,594155,588540,0.0095,5615,grew,26.7,100.08,176.33,148.85,3.13,1214.98
963,47.7231316,128.8785919,Yichun Heilongjiang,China,593871,598465,-0.0077,4594,declined,1.48,5.48,8.39,8.05,62.94,323.77
964,24.7991162,93.9364419,Imphal,India,593524,575625,0.0311,17899,grew,5.19,12.51,103.65,85.21,60.08,600.82
965,30.0981854,114.9747162,Daye,China,592972,578374,0.0252,14598,grew,29.09,95.96,186.13,160.66,0.01,1108.17
966,-8.9740144,33.3915834,Mbeya,Tanzania,592579,566065,0.0468,26514,grew,0.33,3,11.66,4.77,10.37,357.15
967,22.9212029,110.9898501,Cenxi,China,592553,565509,0.0478,27044,grew,5.31,36.33,98.76,95.22,7.24,821.11
968,17.9712148,-76.7928128,Kingston,Jamaica,592477,590940,0.0026,1537,grew,3.82,2.34,4.88,2.02,68.67,280.38
969,16.8502534,74.5948885,Sangli,India,592117,583629,0.0145,8488,grew,8.7,18.51,106.32,84.97,42.56,814.44
970,-15.5986686,-56.0991301,Cuiaba,Brazil,591522,588566,0.005,2956,grew,0.07,0.32,0.57,0.5,25.03,263.69
971,39.6550017,66.9756954,Samarkand,Uzbekistan,591252,578762,0.0216,12490,grew,1.24,27.08,10.34,7.36,37.91,333.79
972,36.7213028,-4.4216366,Malaga,Spain,591091,590032,0.0018,1059,grew,0.12,1.54,2.96,2.01,88.69,236.99
973,4.4386453,-75.2105974,Ibague,Colombia,590686,586187,0.0077,4499,grew,61.04,1.07,67.62,67.08,33.62,267.03
974,51.5142273,7.4652789,Dortmund,Germany,589748,589600,0.0003,148,grew,36.24,84.31,51.7,42.15,0,934.6
975,31.521587,130.5474077,Kagoshima,Japan,588413,591042,-0.0044,2629,declined,10.37,5.23,8.89,4.8,82.97,390.53
976,10.395075,-71.4414049,Cabimas,Venezuela,588348,578222,0.0175,10126,grew,2.15,5.57,6.18,3.34,137.33,407.22
977,45.7700345,131.0074987,Qitaihe,China,588212,578992,0.0159,9220,grew,8.82,11.48,8.36,6.88,62.94,340.46
978,43.0349931,-87.922497,Milwaukee,United States,587721,588939,-0.0021,1218,declined,1.12,4.46,2.04,1.7,82.25,277.04
979,37.5023612,15.0873718,Catania,Italy,586049,585877,0.0003,172,grew,51.5,45.24,36.68,35.11,16.45,894.55
980,13.5708192,100.2585874,Samut Sakhon,Thailand,585964,578273,0.0133,7691,grew,3.13,11.48,196.61,167.85,67.95,1134.87
981,-10.9891601,26.7397418,Likasi,DR Congo,585678,567839,0.0314,17839,grew,0.49,1.22,7.52,3.62,4.2,397.21
982,-19.828707,34.841782,Beira,Mozambique,584989,569911,0.0265,15078,grew,0.75,1.13,5.6,2.51,14.84,337.12
983,34.973321,48.6555779,Hamadan,Iran,584645,577808,0.0118,6837,grew,31.95,38.39,48.09,41.44,55.08,407.22
984,39.3307915,112.4235469,Shuozhou,China,584272,563456,0.0369,20816,grew,10.97,12.34,78.99,19.44,61.51,250.34
985,41.7225544,125.9170455,Tonghua,China,584209,572967,0.0196,11242,grew,10.97,26.73,29.12,22.33,32.19,453.95
986,11.8145966,42.8453061,Djibouti,Djibouti,583695,576157,0.0131,7538,grew,0.22,0.33,14.09,6.04,74.39,250.34
987,51.4582235,7.0158171,Essen,Germany,581579,582128,-0.0009,549,declined,8.7,59.63,32.62,27.73,0.02,660.9
988,43.1257311,5.9304919,Toulon,France,581264,579095,0.0037,2169,grew,0.95,6.94,5.97,5.14,70.81,350.48
989,51.0493286,13.7381437,Dresden,Germany,580877,575476,0.0094,5401,grew,7.45,30.85,23.93,21.51,40.05,410.56
990,-21.7609533,-43.3501129,Juiz De Fora,Brazil,580874,575481,0.0094,5393,grew,2.47,1.22,1.28,0.85,45.78,226.97
991,7.6906058,-5.0298408,Bouake,Ivory Coast,580586,571876,0.0152,8710,grew,0.61,1.17,67.11,24.88,53.64,383.85
992,4.8142613,-75.6946776,Pereira,Colombia,580225,579620,0.001,605,grew,53.41,7.03,119.88,116.86,127.32,580.79
993,24.578721,73.6862571,Udaipur,India,580191,569224,0.0193,10967,grew,2,7.2,109.28,68.68,90.84,473.98
994,34.7678842,111.1908398,Sanmenxia,China,579273,561369,0.0319,17904,grew,44.35,73.34,163.87,83.54,5.99,894.55
995,12.7948109,79.0006411,Vellore,India,578956,569048,0.0174,9908,grew,4.83,16.11,112.09,89.32,65.8,767.71
996,29.2908082,120.2366509,Dongyang,China,578734,566083,0.0223,12651,grew,32.42,108.3,132.07,117.94,0,1081.47
997,38.4583983,47.9313001,Ardabil,Iran,578222,567912,0.0182,10310,grew,13.23,69.23,36.7,34.74,29.68,667.57
998,8.7567452,78.0797527,Thoothukkudi,India,577945,560930,0.0303,17015,grew,1.85,6.26,24.24,17.25,48.64,347.14
999,-29.116395,26.215496,Bloemfontein,South Africa,577560,567029,0.0186,10531,grew,2.21,5.91,13.14,10.1,77.96,297.07
1000,22.4277951,111.1032678,Xinyi,China,577474,559613,0.0319,17861,grew,4.65,15.25,86.63,81.89,23.25,747.68
